Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Calexico East,2019-12-01,December,Personal Vehicle Passengers,523555,5
Calexico East,2019-12-01,December,Personal Vehicles,262923,5
Calexico East,2019-12-01,December,Truck Containers Empty,8909,5
Calexico East,2019-12-01,December,Truck Containers Full,22030,5
Calexico East,2019-12-01,December,Trucks,30702,5
Calexico East,2019-11-01,November,Bus Passengers,4440,5
Calexico East,2019-11-01,November,Pedestrians,46792,5
Calexico East,2019-11-01,November,Personal Vehicle Passengers,500892,5
Calexico East,2019-11-01,November,Personal Vehicles,253679,5
Calexico East,2019-11-01,November,Truck Containers Empty,9161,5
Calexico East,2019-11-01,November,Truck Containers Full,22420,5
Calexico East,2019-11-01,November,Trucks,31254,5
Calexico East,2019-10-01,October,Bus Passengers,4287,5
Calexico East,2019-10-01,October,Pedestrians,35210,5
Calexico East,2019-10-01,October,Personal Vehicle Passengers,520604,5
Calexico East,2019-10-01,October,Personal Vehicles,275461,5
Calexico East,2019-10-01,October,Truck Containers Empty,10489,5
Calexico East,2019-10-01,October,Truck Containers Full,24089,5
Calexico East,2019-10-01,October,Trucks,34088,5
Calexico East,2019-09-01,September,Bus Passengers,6800,5
Calexico East,2019-09-01,September,Pedestrians,24057,5
Calexico East,2019-09-01,September,Personal Vehicle Passengers,479966,5
Calexico East,2019-09-01,September,Personal Vehicles,263272,5
Calexico East,2019-09-01,September,Truck Containers Empty,9254,5
Calexico East,2019-09-01,September,Truck Containers Full,21149,5
Calexico East,2019-09-01,September,Trucks,30021,5
Calexico East,2019-08-01,August,Bus Passengers,12160,5
Calexico East,2019-08-01,August,Pedestrians,15938,5
Calexico East,2019-08-01,August,Personal Vehicle Passengers,507270,5
Calexico East,2019-08-01,August,Personal Vehicles,272450,5
Calexico East,2019-08-01,August,Truck Containers Empty,10172,5
Calexico East,2019-08-01,August,Truck Containers Full,22865,5
Calexico East,2019-08-01,August,Trucks,32740,5
Calexico East,2019-07-01,July,Bus Passengers,7400,5
Calexico East,2019-07-01,July,Pedestrians,24231,5
Calexico East,2019-07-01,July,Personal Vehicle Passengers,513061,5
Calexico East,2019-07-01,July,Personal Vehicles,276238,5
Calexico East,2019-07-01,July,Truck Containers Empty,10433,5
Calexico East,2019-07-01,July,Truck Containers Full,22864,5
Calexico East,2019-07-01,July,Trucks,32988,5
Calexico East,2019-06-01,June,Bus Passengers,6000,5
Calexico East,2019-06-01,June,Pedestrians,25162,5
Calexico East,2019-06-01,June,Personal Vehicle Passengers,490025,5
Calexico East,2019-06-01,June,Personal Vehicles,268924,5
Calexico East,2019-06-01,June,Truck Containers Empty,9867,5
Calexico East,2019-06-01,June,Truck Containers Full,22070,5
Calexico East,2019-06-01,June,Trucks,31524,5
Calexico East,2019-05-01,May,Trucks,33769,5
Calexico East,2019-05-01,May,Truck Containers Full,23287,5
Calexico East,2019-05-01,May,Truck Containers Empty,10974,5
Calexico East,2019-05-01,May,Personal Vehicles,291749,5
Calexico East,2019-05-01,May,Personal Vehicle Passengers,512093,5
Calexico East,2019-05-01,May,Pedestrians,29930,5
Calexico East,2019-05-01,May,Bus Passengers,6480,5
Calexico East,2019-04-01,April,Trucks,32027,5
Calexico East,2019-04-01,April,Truck Containers Full,20874,5
Calexico East,2019-04-01,April,Truck Containers Empty,11410,5
Calexico East,2019-04-01,April,Personal Vehicles,275878,5
Calexico East,2019-04-01,April,Personal Vehicle Passengers,495467,5
Calexico East,2019-04-01,April,Pedestrians,32713,5
Calexico East,2019-04-01,April,Bus Passengers,8480,5
Calexico East,2019-03-01,March,Personal Vehicle Passengers,498664,5
Calexico East,2019-03-01,March,Bus Passengers,4200,5
Calexico East,2019-03-01,March,Trucks,34447,5
Calexico East,2019-03-01,March,Personal Vehicles,285861,5
Calexico East,2019-03-01,March,Truck Containers Full,20256,5
Calexico East,2019-03-01,March,Truck Containers Empty,14494,5
Calexico East,2019-03-01,March,Pedestrians,38188,5
Calexico East,2019-02-01,February,Personal Vehicle Passengers,415148,5
Calexico East,2019-02-01,February,Pedestrians,24213,5
Calexico East,2019-02-01,February,Trucks,31771,5
Calexico East,2019-02-01,February,Bus Passengers,5480,5
Calexico East,2019-02-01,February,Truck Containers Full,17831,5
Calexico East,2019-02-01,February,Truck Containers Empty,14171,5
Calexico East,2019-02-01,February,Personal Vehicles,242818,5
Calexico East,2019-01-01,January,Truck Containers Full,18492,5
Calexico East,2019-01-01,January,Personal Vehicles,269965,5
Calexico East,2019-01-01,January,Truck Containers Empty,15471,5
Calexico East,2019-01-01,January,Pedestrians,22533,5
Calexico East,2019-01-01,January,Personal Vehicle Passengers,473461,5
Calexico East,2019-01-01,January,Bus Passengers,8320,5
Calexico East,2019-01-01,January,Trucks,33715,5
Calexico East,2018-12-01,December,Bus Passengers,7720,5
Calexico East,2018-12-01,December,Truck Containers Empty,16235,5
Calexico East,2018-12-01,December,Truck Containers Full,13562,5
